time,amount
00:00:00,0.0
01:00:00,0.0
02:00:00,0.0
03:00:00,0.0
04:00:00,0.0
05:00:00,0.0
06:00:00,0.0
07:00:00,0.0
08:00:00,24.0
09:00:00,544.0
10:00:00,432.0
11:00:00,400.0
12:00:00,1192.0
13:00:00,1776.0
14:00:00,536.0
15:00:00,104.0
16:00:00,80.0
17:00:00,0.0
18:00:00,0.0
19:00:00,0.0
20:00:00,0.0
21:00:00,0.0
22:00:00,0.0
23:00:00,0.0
